Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .	With a higher humidity , the rate of evaporation is less .
Sickle-cell disease ( SCD ) , or sickle-cell anemia ( SCA ) or drepanocytosis , is a hereditary blood disorder , characterized by red blood cells that assume an abnormal , rigid , sickle shape .	The red blood cells take up an abnormal , rigid , sickle shape .
Life expectancy is shortened .	In the full ( homozygous ) disease life expectancy is shortened , in fact it is near-fatal in pre-modern societies .
Sickle-cell anemia is a form of sickle-cell disease in which there is homozygosity for the mutation that causes HbS .	Sickle cell anemia is a genetic disease .
Nilsson died of heart failure on January 15 , 1994 in his Agoura Hills , California home .	Nilsson died of heart failure in Agoura Hills , California .
Combat stress reaction is generally short-term and should not be confused with acute stress disorder , post-traumatic stress disorder , or other long-term disorders attributable to combat stress , although any of these may commence as a combat stress reaction .	Combat stress reaction can often become post-traumatic stress disorder .
Stone died on 6 December 1991 .	Stone died on 6 December 1991 in Cambridge , England from pneumonia , aged 78 .
In 2004 , both Gerty and Carl Cori were designated a National Historic Chemical Landmark in recognition of their work in clarifying carbohydrate metabolism .	In 2004 , their work was designated an ACS National Historical Chemical Landmark for carbohydrate metabolism .
She was diagnosed with bipolar disorder in 1991 .	In 1991 , Poly Styrene was diagnosed with bipolar disorder .
Processing and Distribution Center , the postal mail sorting facility through which anthrax-contaminated mail addressed to two members of the U.S. Senate passed in the 2001 anthrax attacks .	It was the postal mail sorting facility through which anthrax-contaminated mail addressed to two members of the U.S. Senate passed in the 2001 anthrax attacks .
The 633,000-square-foot ( 58,800 m2 ) facility was closed October 21 , 2001 , because of anthrax contamination and did not reopen until December 21 , 2003 .	The 633,000 square foot facility was closed October 21 , 2001 , because of anthrax contamination and did not reopen until December 21 , 2003 .
It is best known as the site of the Joseph Curseen Jr. and Thomas Morris Jr. .	The Post Office is now named after Joseph Curseen Jr. and Thomas Morris Jr. , who were postal workers who died after exposure to the anthrax in the incident .
Because of this highly modified system of host immunosuppression , a high level of parasitoid-host specificity is not surprising .	Because of this highly modified system of host immunosuppression , a high level of parasitoid-host specificity is not surprising .
Bacteria make up most of the flora in the colon and up to 60 % of the dry mass of feces .	Bacteria make up most of the flora in the colon and up to 60 % of the dry mass of faeces .
However , in certain conditions , some species are thought to be capable of causing disease by producing infection or increasing cancer risk for the host .	However , in some conditions , some species can cause disease by producing an infection or increasing cancer risk for the host .
Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor-intensive expenses of arrangement , description , and reference service .	Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .
While the cause of death was originally thought to be dysentery , scientists have now concluded that Agnès died of mercury poisoning .	While the cause of death was originally thought to be dysentery .
